z_meas,qc_meas,z,qc,z_koppejan,qc_koppejan,z_filter,qc_filter
-0.54072,0.8,0.18072,1.92,-0.52272,0.43,,
-0.54216,0.79,0.17928,1.92,-0.52416,0.42,,
-0.54504,0.78,0.17784,1.92,-0.5256,0.42,,
-0.54648,0.77,0.1764,1.92,-0.52704,0.42,,
-0.54792,0.76,0.17496,1.92,-0.52848,0.41,,
-0.54936,0.75,0.17352,1.92,-0.52992,0.41,,
-0.5508,0.74,0.17208,1.92,-0.53136,0.4,,
-0.55224,0.73,0.17064,1.92,-0.5328,0.4,,
-0.55368,0.72,0.1692,1.92,-0.53424,0.39,,
-0.55512,0.7,0.16776,1.92,-0.53568,0.39,,
-0.5562,0.69,0.16632,1.92,-0.53712,0.38,,
-0.55764,0.67,0.16488,1.92,-0.53856,0.38,,
-0.55908,0.66,0.1638,1.92,-0.54,0.37,,
-0.56052,0.64,0.16236,1.92,-0.54144,0.37,,
-0.56196,0.63,0.16092,1.92,-0.54288,0.36,,
-0.5634,0.62,0.15948,1.92,-0.54432,0.35,,
-0.56628,0.61,0.15804,1.92,-0.54576,0.35,,
-0.56772,0.59,0.1566,1.92,-0.5472,0.34,,
-0.56916,0.58,0.15516,1.92,-0.54864,0.34,,
-0.5706,0.57,0.15372,1.92,-0.54972,0.33,,
-0.57204,0.56,0.15228,1.92,-0.55116,0.33,,
-0.57348,0.55,0.15084,1.92,-0.5526,0.32,,
-0.57492,0.54,0.1494,1.92,-0.55404,0.31,,
-0.57636,0.53,0.14796,1.92,-0.55548,0.31,,
-0.5778,0.52,0.14652,1.92,-0.55692,0.3,,
-0.57924,0.51,0.14508,1.92,-0.55836,0.3,,
-0.58068,0.5,0.14364,1.92,-0.5598,0.3,,
-0.58212,0.5,0.1422,1.92,-0.56124,0.29,,
-0.58356,0.49,0.14076,1.92,-0.56268,0.29,,
-0.585,0.48,0.13932,1.92,-0.56412,0.28,,
