meas_y,meas_x,estimated_y,estimated_x
-26.64,1.9,-6.05,1.92
-26.68,1.9,-6.09,1.92
-26.72,1.89,-6.13,1.92
-26.76,1.89,-6.17,1.92
-26.8,1.88,-6.21,1.92
-26.84,1.88,-6.25,1.92
-26.88,1.88,-6.28,1.92
-26.96,1.87,-6.32,1.92
-27,1.87,-6.36,1.92
-27.04,1.86,-6.4,1.92
-27.08,1.86,-6.44,1.92
-27.11,1.86,-6.48,1.92
-27.15,1.85,-6.52,1.92
-27.19,1.85,-6.56,1.92
-27.23,1.85,-6.6,1.92
-27.27,1.84,-6.64,1.92
-27.31,1.84,-6.68,1.92
-27.35,1.84,-6.72,1.92
-27.39,1.83,-6.76,1.92
-27.43,1.83,-6.8,1.92
-27.47,1.83,-6.84,1.92
-27.51,1.83,-6.88,1.92
-27.55,1.82,-6.92,1.92
-27.59,1.82,-6.96,1.92
-27.63,1.82,-7,1.92
-27.67,1.82,-7.04,1.92
-27.71,1.81,-7.08,1.92
-27.75,1.81,-7.11,1.92
-27.83,1.81,-7.15,1.92
-27.83,1.81,-7.19,1.92
-27.91,1.81,-7.23,1.92
-27.94,1.81,-7.27,1.92
-27.98,1.81,-7.31,1.92
-28.02,1.81,-7.35,1.92
-28.06,1.81,-7.39,1.92
-28.1,1.81,-7.43,1.92
-28.14,1.81,-7.47,1.92
-28.18,1.8,-7.51,1.92
-28.22,1.8,-7.55,1.92
-28.26,1.81,-7.59,1.92
-28.3,1.81,-7.63,1.92
-28.34,1.81,-7.67,1.92
-28.38,1.81,-7.71,1.92
-28.42,1.81,-7.75,1.92
-28.46,1.81,-7.79,1.92
-28.5,1.81,-7.83,1.92
-28.54,1.81,-7.87,1.92
-28.58,1.81,-7.91,1.92
-28.62,1.82,-7.94,1.92
-28.66,1.82,-7.98,1.92
-28.7,1.82,-8.02,1.92
-28.74,1.82,-8.06,1.92
-28.77,1.83,-8.1,1.92
-28.85,1.82,-8.14,1.92
-28.89,1.83,-8.18,1.92
-28.93,1.83,-8.22,1.92
-28.97,1.83,-8.26,1.92
-29.01,1.83,-8.3,1.92
-29.05,1.83,-8.34,1.92
-29.09,1.83,-8.38,1.92
-29.13,1.83,-8.42,1.92
-29.17,1.84,-8.46,1.92
-29.21,1.84,-8.5,1.92
-29.25,1.84,-8.54,1.92
-29.25,1.84,-8.58,1.92
,,-8.616600791,1.92156368
,,-8.656126482,1.921569132
,,-8.695652174,1.921574585
,,-8.735177866,1.921580037
,,-8.774703557,1.92158549
,,-8.814229249,1.921590942
,,-8.853754941,1.921596394
,,-8.893280632,1.921601847
,,-8.932806324,1.921607299
,,-8.972332016,1.921612752
,,-9.011857708,1.921618204
,,-9.051383399,1.921623657
,,-9.090909091,1.921629109
,,-9.130434783,1.921634561
,,-9.169960474,1.921640014
,,-9.209486166,1.921645466
,,-9.249011858,1.921650919
,,-9.288537549,1.921656371
,,-9.328063241,1.921661823
,,-9.367588933,1.921667276
,,-9.407114625,1.921672728
,,-9.446640316,1.92167818
,,-9.486166008,1.921683633
,,-9.5256917,0.257653533
,,-9.565217391,0.257653734
,,-9.604743083,0.257653935
,,-9.644268775,0.257654137
,,-9.683794466,0.257654338
,,-9.723320158,0.257654539
,,-9.76284585,0.257654741
,,-9.802371542,0.257654942
,,-9.841897233,0.257655144
,,-9.881422925,0.257655345
,,-9.920948617,0.257655546
,,-9.960474308,0.257655748
,,-10,0.257655949
,,-10.03952569,0.257656151
,,-10.07905138,0.257656352
,,-10.11857708,0.257656553
,,-10.15810277,0.257656755
,,-10.19762846,0.257656956
,,-10.23715415,0.257657157
,,-10.27667984,0.257657359
,,-10.31620553,0.25765756
,,-10.35573123,0.257657762
,,-10.39525692,0.257657963
,,-10.43478261,0.257658164
,,-10.4743083,0.257658366
,,-10.51383399,0.257658567
,,-10.55335968,0.257658768
,,-10.59288538,0.25765897
,,-10.63241107,0.257659171
,,-10.67193676,0.257659373
,,-10.71146245,0.257659574
,,-10.75098814,0.257659775
,,-10.79051383,0.257659977
,,-10.83003953,0.257660178
,,-10.86956522,0.25766038
,,-10.90909091,0.257660581
,,-10.9486166,0.257660782
,,-10.98814229,0.257660984
,,-11.02766798,0.257661185
,,-11.06719368,1.921901722
,,-11.10671937,1.921907174
,,-11.14624506,1.921912626
,,-11.18577075,1.921918078
,,-11.22529644,1.92192353
,,-11.26482213,1.921928982
,,-11.30434783,1.921934434
,,-11.34387352,1.921939886
,,-11.38339921,1.921945338
,,-11.4229249,1.92195079
,,-11.46245059,1.921956242
,,-11.50197628,1.921961694
,,-11.54150198,1.921967146
,,-11.58102767,1.921972598
,,-11.62055336,1.92197805
,,-11.66007905,1.921983502
,,-11.69960474,1.921988954
,,-11.73913043,1.921994406
,,-11.77865613,1.921999858
,,-11.81818182,1.92200531
,,-11.85770751,1.922010762
,,-11.8972332,1.922016214
,,-11.93675889,1.922021666
,,-11.97628458,1.922027118
,,-12.01581028,1.92203257
,,-12.05533597,1.922038022
,,-12.09486166,1.922043474
,,-12.13438735,1.922048926
,,-12.17391304,1.922054378
,,-12.21343874,1.92205983
,,-12.25296443,1.922065282
,,-12.29249012,1.922070734
,,-12.33201581,1.922076185
,,-12.3715415,1.922081637
,,-12.41106719,1.922087089
,,-12.45059289,1.922092541
,,-12.49011858,1.922097993
